Name	Title	Review	Rating	Prediction
Amazon Customer	Not worth the hassle	The strap is really hard to change. I managed to detach one strap but I am not able to attach the larger strap so the product is now useless. I watched a YouTube video on how to attach it and let others try as well. No one was able to attach the strap. Even the video wonders why Fitbit would make it so hard to attach. You have to line up these three tiny pins in three different directions simultaneously. The pins are so delicate they can easily be bent making the product impossible to use. Right now it is so hard to attach that we are not sure if that hasn happened. Similarly if one tiny delicate pin on the charging port is bent it also cannot be charged.	1.0	0.5268965730690445
Aubrey	Listen to the poor reviews	I've used fitbit products for years. My well loved charge 2 has stopped synching so decided perhaps I should upgrade. I read poor reviews but thought maybe they had received a bad watch so went to Target to buy one and try it out. Charged for 3 hours, screen never even blinked. Made sure alignment of pins was good, tried 3 different bricks and several outlets. Nothing. Exchanged for another one, exact same experience. The quality of their products is very questionable as of late and customer service does little bit offer trying to power cycle defective units. These are common concerns from what I've read and I'll be looking for a different brand now.	1.0	0.6878643701302667
Amazon Customer	It stopped working after 3 months	My fitbit stopped working after 3 months. The screen does not work or respond to touch. Sometimes, it turns itself on or off without being prompted to do so. It still tracks my sleep somehow, but I'm not able to access the other features because the screen part is broken and unresponsive. I'm really upset, this was one of the more expensive fitness trackers on the market and I expected more in terms of quality from this.	2.0	2.005358808272259
Sophia	scratched and not that great	I have had this watch for less than a month and it is already damaged. The screen got scratched on my kitchen counter. If it cannot even handle the indoors, how will it handle a hike?  It seems less accurate than the alta. I have steps before I even get out of bed. That never happened with the alta. And my alta never got damaged anyway I had it for many many years. I gave it to my mom when I got this one so it still works.  I wanted more features like the heart rate monitor but it was not worth the upgrade. Sure, it does more but why? Why do I need those things?	3.0	3.050132020087251
Cassandra Reising	All in all a good watch	I have had this for about a month and am very happy with it. Battery life is amazing. I have just started running with it. I ran the same route on two days and distance was .35miles different. I  am not too stuck on distance/time so it wasn't a big deal to me. I wish there were more compatible watch apps available. Would love to be able to use amazon music. Also wish music control for other devices could pause the music. Those are my biggest complaints. All in all a good smart watch.	4.0	3.9999381694181495
Gearhead	Works as designed.	Bought this for my girlfriend. Thought I was tech savvy but had to read on its functionality. It’s a little quirky at first to get music apps installed, to playback. You must have your phone nearby as all apps run through phone. Not a standalone device. It tracked her sleep one night but she wasn’t wearing it. Still trying to understand that. Other than that seems to work fine for texting, emails, notifications.	4.0	4.057881070138249
speedemonj	Great for fitness	Great for fitness, sleep, etc but you have to use the app on your phone for a lot of things to input. I really wish it had a feature to answer the phone through the watch. You can answer the phone but have to use the phone to actually talk.	4.0	4.112775079400297
Tyler	Good bang for your buck	I had a Fitbit blaze before I got the versa 2 and I loved it! The only thing that I wasn’t a big fan of was that it wasn’t waterproof, just water resistant. However, the versa 2 is awesome! It is much more customizable and is waterproof. The only thing I’m not a big fan of is the ability to play music from it because I only use Apple Music and it doesn’t work with that. Also, the free version of Fitbit coach is horrible and Fitbit has done nothing to fix it.	4.0	4.344578190051397
Kindle Customer	HUGE improvement over the first Fitbit Versa	My first Fitbit Versa was great and died 4 months in (and I was still paying for it!).  No amount of restarting would fix it.  This Versa 2 is fantassssstic.  Super accurate. My favorite feature is the sleep tracking as it was with the original Fitbit Versa.  Still learning about all the cool new features but it's been a great purchase so far.	5.0	4.5026695940464005
Nicole Quigley	Love It!!	After buying a cheaper type of fitness tracker on Amazon and absolutely hated it, I decided to treat myself and go with a fit bit. I absolutely love it for tracking my steps, water and calories. It really motivates me to watch what I eat, keep drinking water, and keep moving. I wouldn’t suggest buying anything other than a fit bit. It keeps at least a 4 day charge and when you do need to charge it, it charges quickly!!	5.0	4.95599574273193
Amazon Customer	Versa 2 is amazing	Amazing sleep tracking and great step and heart rate accuracy!!! I’ve come from Garmin devices and Fitbit seems to be more accurate and the app is wayyyyy better!! Paired with a Spigen case, I never take it off and it’s very comfortable!	5.0	4.512607084501644
Hal	Simple and nice	It’s pretty sleek. Sleep tracking doesn’t always track sleep though. I. Price the Fitbit charge 3 tracked sleep better. Battery life is about 2ish days with clock display always on. The features to use Spotify and what not is nice. It’s a shame Apple prevents the quick replies because I hated Apple Watch. This tracker is a nice simple but cool tool	5.0	5.0206461273986935
Heather	Great purchase!	Very impressed with the features and comfort of this device. Tracks exercise and sleep automatically. App stores all info and has easy to add food calorie counts. Cute watch faces available for cheap purchase prices. The band is very comfortable and I hardly know I’m wearing it. Good battery life. Syncs well with my iPhone and displays calls and messages. Would buy again.	5.0	5.031151183534693
jessica albrecht	I LOVE THE VERSA 2.	I love it! It's cute, comfortable, and works really well! Having to have it connected via bluetooth runs my battery down on my phone but other than that it's a pretty neat watch. I like that it reminds me to stay active throughout the day and it has a neat feature that reminds you to breathe and it walks you through a breathing technique that helps you relax.	5.0	5.0435134680831455
