Name	Title	Review	Rating	Prediction
Sara	Waste of money	Waste of money. I got this to replace my fitbit. The step tracker is WAY off. Super low! For example just this morning I was deep cleaning and moving heavy furniture for like 3 hours.. every time I looked at my watch it kept telling me it was time to start moving! It had me at 109 steps the entire time I was cleaning.. it never went up. And the heart rate monitor is also way off. I was working out and it was at 68 to 70 when in reality it was up around 150. Wish I hadn't got rid of my Fitbit for this junk	1.0	0.5807802872452128
Ali	Holds No Battery	I purchased this watch because I love the look. I take a workout class (Orange Theory) regularly. There's no option to select a HIIT (high intensity interval workout) so I have to change the workout from running to elliptical to circuit training, which is fairly annoying. Also, this devise runs out of battery very quickly. I have to charge it every day. I don't really check it during the day, but without fail the battery drains. Without much use, I found that the watch was at 35% AT BEST when I came home from work. Not only that, the charger I received wasn't recognized and when I contacted Samsung via the chat feature, they recommended another charger for a 46mm watch and it's still hard to charge. Now the watch doesn't recognize the charger Samsung recommended. I hope I can return this because I really regret purchasing this.	1.0	0.688798390976797
PartyOfFive	Battery life is poor	I have to say I’m a bit disappointed with this watch. I had high hopes for it. I was looking to switch from my Apple Watch because I like the style of this Watch better. My main issue, Poor battery life. On a full charge it will last less then 2 days. That’s with minimal use. My Apple Watch lasts on a full battery 4 days between charges.  Another issue I have with it is I cannot answer phone calls. Really? I’ll be sticking with my Apple Watch!	2.0	2.4513625214840293
Jill W.	Battery Life is Terrible & Finicky Activity Tracking	I've had this watch for four months now, and it keeps getting buggier. The battery life is 15 hours at very best, so I've never been able to use this for any of the sleep tracking features. If you're using GPS, you can count on about 4 hours of GPS usage before the watch dies. I took it on a hike in CO, and it died before I finished, losing all my data. The Samsung Health app something picks up my activity, sometimes not. I linked my watch to Strava to track my marathon training progress, and it frequently disconnects in the middle of my runs. The touchscreen can take three taps to pause or restart an activity. I would not recommend this watch for an active user. However, if you're just looking for a smartwatch, I'm sure it's fine.	3.0	3.071572402676286
Ryan Pedersen	Not great for serious runners.	I loved the aesthetics of the watch, and the apps, but the fitness tracking is worthless.  Regularly stopped tracking pace and distance in the middle of my runs and would not "catch back up."  Very inconsistent and unreliable.  If you just need a smartwatch, the one is awesome, if you are an athlete, get a Garmin.	3.0	2.516965437193067
RuthB	Good and Bad	PROS: I love the feel and size of the watch. I have tiny wrists with a prominent bony bump, so I rarely wore my previous Samsung watch because big bulky watches are too uncomfortable to wear.  The usability is fine. The smooth, sleek look is great! CONS: It did not come with any kind of charger. NADA. WTF??  And battery life is not great.	4.0	4.428847593310826
Gatefan1565	Great Watch	Bought this for my daughter for her birthday. She has been wanting a watch to track her steps and have a watch. We are a Samsung family and she deserved a great gift. Having a Samsung S2 watch, I knew of several ways to save battery life and to set up the watch. Battery Life: So far she is hitting about 60% by the end of the day as she uses. I have the screen brightness set to 5 or 6. I also taught her how to turn on and off the "Wake up gesture" which can activate while walking, running, or moving around, which can drain the battery life. Set Up: Unfortunately, that took a little bit longer than I had planned. However, that was my fault, not the watches. I simply pulled it out, turned it on, and then worked on connecting it to my daughter's Samsung Note 8. I did not pull out the directions or even look at them. Even still, I knew the basis of what needed to be done. I muddled through it and had it connected in about 10 minutes. (Probably could have cut that in half if I had looked at the directions) The rest dealt with Samsung Health. After getting an account set up for my daughter, the watch seamlessly integrated with the phone with no issues.  Overall: I am happy with the watch and most importantly, my daughter loves it. I prefer the turning dial on the S2 so, if I were to get a new watch now, it would be the Samsung Watch 42mm version because the Samsung Watch Active does not have that satisfying, turning, dial on the face.	4.0	4.064182941340002
SteelTX	This is the best value for the money	Love everything about this watch.  Bought 2 Fitbit Versa watches and sent those back for horrible bluetooth for music.  These are excellent and flawless.  Love the sleep tracker, step tracker, heartbeat monitor, stress tracker, and music player!  Battery life is not as bad as I thought reading reviews.  Just charge it for an hour or two a day and it's good to go.  Would be nice if it lasted longer, but everything else about the watch is perfect!	4.0	4.4523738176782235
REC	Love this watch	Love this watch. It has literally everything you'd want or need in a smartwatch, but is super easy to use & navigate. If I had anything to complain about, it does drop bluetooth connection after just walking a room or 2 away. Kind of annoying if that's an important feature for you. I'd highly recommend watch & seller.	4.0	4.083515723231787
MrsRetailTherapy	Great for nursing students...	I wish the touch screen went from edge to edge to give us a little more space but other than that I love it. Super sleek and professional looking. I got it for nursing school to make my life a little easier. So far it has helped me with military time, patient respiration, etc... I can't have my phone out during clinicals and being able to respond to my kids on my wrist makes me feel so much better. Love it!	5.0	5.00880180254442
