Name	Title	Review	Rating	Prediction
Justin	Low Quality Watch	Disappointed with the quality of the watch itself, specifically the band. The case or head feels heavy but the band does not feel like acceptable quality for a watch at this price point. It is stiff yet flimsy at the same time.  I got this watch along with, I assume many others when it was a Amazon Deal of the Day for $100. It is not worth the price listed currently. The logo on the face also appears cloudy in my watch.  I am also concerned about the level of fake reviews for this product. Do your own research ahead of time before buying this watch.	1.0	1.0842117684582102
RJ	Watch Band Small	The watch is nice but the watch band is small and thick. I have an average wrist but it is very difficult to latch. I returned it	2
Mike Weeks	Not as good as reviews.	The calendar doesn’t work and has to be reset every day. The leather band is so stiff and hard to put on. I have even used olive oil to soften it. I have to reset the time everyday. Not very pleased with this watch. I thought for the price it would be much better.	3.0	3.271752202394701
AV	good quality watch but straps are not good	Used for 1.5 years (not a daily wear - I rotate between another 5-6 watches before I wear this) . Strap quality is subpar.  I have cheaper watches whose straps have lasted more than 5 years with minimal wear.  Bezel has scratches, but the dial is looks great.	3.0	3.0998176165012366
Hellraiser1	Like many other posts	Like many other posts, the wrist band is stiff and just barely fits my wrist on the last hole, not much of a surprise .  The watch itself is elegant and classy, looks more like $1000 watch.	4.0	4.3916921163911145
fastjohnie	The packaging is simple but nice. Looks and feels to be of nice quality	Watch arrived on time. The packaging is simple but nice. Looks and feels to be of nice quality. I have worn it once. The leather band is stiff as expected.  I will write another review after i have had this watching for awhile.	4.0	4.160970734659537
Randy24	Beautiful watch; date-setting instructions---not so much	This is a beautiful watch!  Large face (40mm), dark blue background with gold hands, simple day of month date window, comfortable leather band. I deducted one star because the instructions on setting the date were totally wrong. I searched online to find how to set the date with no luck but finally figured it out myself by fiddling with the crown settings. Frustrating! Someone should have caught that in the quality control dept.	4.0	3.5266076198293272
KEN F.	Veritable magnificent craftsmanship.	I have recently purchased three Vincero watches for my family - everyone was extremely impressed and amazed that these high-quality watches were so very reasonably priced; The plating and distinctive faces are superb. I intend to purchase more items for friends and family in the near future. Compared to companies such as Citizen and Seiko, these time pieces are without equal. An extremely delighted  consumer. Ken F	5.0	4.600716085079676
Adam Jones	Great looking watch for a really cheap price	Definitely a good watch for the extremely cheap price of $140. Bought it to tide me over until I feel like buying a real expensive watch from the jewelry store in town and I'm definitely happy with it. Looks as advertised and the Italian leather is extremely comfortable.	5.0	5.1000473670321504
Robert Rochon	Superb watch at a great value!	Superb watch at a great value! I'm very pleased with the watch, the look, and the feel. I'm in the process of updating my wardrobe and buying this watch is one of my first steps in doing so, and I have no regrets. I will recommend Vincero watches to my friends.	5.0	4.883869644955128
Anthony	Beautiful inexpensive watch!	A beautiful simplistic watch with an amazing design. This is my first time buying jewelry online and for myself. I have received several compliments about its looks.  I'm happy with this product recommend 5 / 5	5.0	5.023002890492849
James N. Smith	A Solid Watch.	I really like this watch, and I get compliments on it all the time.  Keeps very good time, has a nice conservative look that goes well with most occasions. Not simply a "good watch for the price" item, but a solidly good watch that does what a watch is supposed to do.  If you don't need the bells and whistles, you can't go wrong with this Vincero.	5.0	5.0623495587417064
R. R. Anderson	gift for picky hubby, he loves Kairtos!	Initially bought my hubby one of your Kairos watches, it has a brown leather band with a blue face, and he loves it so much I bought him another Kairos watch with a black leather band.  He is picky about his watches and he absolutely loves your brand!	5.0	5.052969962456605
Nels brown	Simple and stylish	This is an attractive and apparently well made watch at a reasonable price. The band is sharp looking and seems to be something that will hold up over time. The time piece is functional and has a classic style that appears elegant because of it's simplicity. I've only owned this watch for a week, but I am happy with the purchase.	5.0	5.231609486868941
A. Vanskiver	Great timepiece	Great timepiece! I've owned this watch for several weeks now and it's keeping great time as it should. The fit and finish are very good for a watch at this price point.  The leather band is substantial and it looks great dressed up for casual.	5.0	5.265825000203264
James P. Loyd	Great watch at a great price.	The watch is a great looking watch and is simple to use, unlike most watches today where you almost have to be a rocket scientist to figure out how everything works.  I love the watch	5.0	4.90612566934429
George Gerich	Sophistication for an affordable price	This is a classy watch at an un-classy price. Solid construction, but very lightweight on the arm. I like the heavy duty watchband that should last a long time. The face and hands of the watch are delicate and well-designed. Here's hoping that it's also durable - time will tell.	5.0	4.662400433829208
Alex Pickles	Overall very happy with the product!	Very good looking watch, came in a nice, professional looking box. You can definitely tell it’s a luxury watch with a resonable price. My only concern is the Italian leather fits kind of weird on my wrist, but I did only just recently receive the watch, maybe after some time the leather will break in and feel better.	5.0	4.660447289471757
